ZIP,county,state,all_county1,all_county2,all_county3,all_county4,municipality
49710,Chippewa,MI,Chippewa,NA,NA,NA,Barbeau
49715,Chippewa,MI,Chippewa,NA,NA,NA,Brimley
49719,Mackinac,MI,Mackinac,NA,NA,NA,Cedarville
49719,Chippewa,MI,Mackinac,NA,NA,NA,Cedarville
49724,Chippewa,MI,Chippewa,NA,NA,NA,Dafter
49725,Chippewa,MI,Chippewa,NA,NA,NA,De Tour Village
49726,Chippewa,MI,Chippewa,NA,NA,NA,Drummond Island
49728,Chippewa,MI,Chippewa,NA,NA,NA,Eckerman
49736,Chippewa,MI,Chippewa,NA,NA,NA,Goetzville
49745,Mackinac,MI,Mackinac,NA,NA,NA,Hessel
49752,Chippewa,MI,Chippewa,NA,NA,NA,Kinross
49757,Mackinac,MI,Mackinac,NA,NA,NA,Mackinac Island
49760,Chippewa,MI,Mackinac,NA,NA,NA,Moran
49760,Mackinac,MI,Mackinac,NA,NA,NA,Moran
49762,Mackinac,MI,Mackinac,NA,NA,NA,Naubinway
49768,Chippewa,MI,Chippewa,NA,NA,NA,Paradise
49774,Chippewa,MI,Chippewa,Mackinac,NA,NA,Pickford
49774,Mackinac,MI,Chippewa,Mackinac,NA,NA,Pickford
49775,Mackinac,MI,Mackinac,NA,NA,NA,Pointe aux Pins
49780,Chippewa,MI,Chippewa,Mackinac,NA,NA,Rudyard
49780,Mackinac,MI,Chippewa,Mackinac,NA,NA,Rudyard
49781,Mackinac,MI,Mackinac,NA,NA,NA,Saint Ignace
49783,Chippewa,MI,Chippewa,NA,NA,NA,Sault Sainte Marie
49788,Chippewa,MI,Chippewa,NA,NA,NA,Kincheloe
49801,Dickinson,MI,Dickinson,NA,NA,NA,Iron Mountain
49802,Dickinson,MI,Dickinson,NA,NA,NA,Kingsford
49805,Houghton,MI,Keweenaw,Houghton,NA,NA,Allouez
49805,Keweenaw,MI,Keweenaw,Houghton,NA,NA,Allouez
49806,Alger,MI,Alger,NA,NA,NA,Au Train
49807,Menominee,MI,Delta,Menominee,Dickinson,NA,Bark River
49807,Delta,MI,Delta,Menominee,Dickinson,NA,Bark River
49812,Menominee,MI,Menominee,NA,NA,NA,Carney
49814,Marquette,MI,Marquette,NA,NA,NA,Champion
49815,Dickinson,MI,Dickinson,NA,NA,NA,Channing
49816,Alger,MI,Alger,NA,NA,NA,Chatham
49817,Delta,MI,Schoolcraft,Delta,NA,NA,Cooks
49817,Schoolcraft,MI,Schoolcraft,Delta,NA,NA,Cooks
49818,Marquette,MI,Delta,Marquette,NA,NA,Cornell
49818,Delta,MI,Delta,Marquette,NA,NA,Cornell
49820,Mackinac,MI,Mackinac,NA,NA,NA,Curtis
49821,Menominee,MI,Menominee,NA,NA,NA,Daggett
49822,Marquette,MI,Alger,Marquette,NA,NA,Deerton
49822,Alger,MI,Alger,Marquette,NA,NA,Deerton
49825,Alger,MI,Alger,NA,NA,NA,Eben Junction
49826,Alger,MI,Alger,NA,NA,NA,Rumely
49827,Mackinac,MI,Mackinac,NA,NA,NA,Engadine
49829,Delta,MI,Delta,NA,NA,NA,Escanaba
49831,Marquette,MI,Dickinson,Marquette,NA,NA,Felch
49831,Dickinson,MI,Dickinson,Marquette,NA,NA,Felch
49833,Marquette,MI,Marquette,NA,NA,NA,Little Lake
49834,Dickinson,MI,Dickinson,NA,NA,NA,Foster City
49835,Delta,MI,Delta,NA,NA,NA,Garden
49836,Mackinac,MI,Schoolcraft,Mackinac,NA,NA,Germfask
49836,Schoolcraft,MI,Schoolcraft,Mackinac,NA,NA,Germfask
49837,Delta,MI,Delta,NA,NA,NA,Gladstone
49838,Mackinac,MI,Mackinac,NA,NA,NA,Gould City
49839,Alger,MI,Alger,NA,NA,NA,Grand Marais
49840,Schoolcraft,MI,Schoolcraft,NA,NA,NA,Gulliver
49841,Marquette,MI,Marquette,NA,NA,NA,Gwinn
49847,Menominee,MI,Menominee,NA,NA,NA,Hermansville
49848,Menominee,MI,Menominee,NA,NA,NA,Ingalls
49849,Marquette,MI,Marquette,NA,NA,NA,Ishpeming
49853,Mackinac,MI,Luce,Mackinac,NA,NA,Mc Millan
49853,Luce,MI,Luce,Mackinac,NA,NA,Mc Millan
