ID,call_sign
1,WAGN-AM
2,WCCY-AM 
3,WCHT-AM
4,WCMM-FM
5,WCMU-FM
6,WDBC-AM
7,WDMJ-AM
8,WFER-AM
9,WFXD-FM
10,WGKL-FM
11,WGLQ-FM
12,WHKB-FM
13,WHTO-FM
14,WHWL-FM
15,WHYB-FM
16,WIKB-FM
17,WIMI-FM
18,WIMK-FM
19,WJMS-AM
20,WJNR-FM
21,WJPD-FM
22,WKMJ-FM
23,WKNW-AM
24,WKQS-FM
25,WMIQ-AM
26,WMJT-FM
27,WMKD-FM
28,WMPL-AM
29,WMQT-FM
30,WNBY-AM
31,WNBY-FM
32,WNGE-FM
33,WMNU-FM
34,WOBE-FM
35,WQXO-AM
36,WRPP-FM
37,WRUP-FM
38,WSOO-AM
39,WSUE-FM
40,WTIQ-AM
41,WUPF-FM
42,WUPG-FM
43,WUPK-FM
44,WUPM-FM
45,WUPN-FM
46,WUPT-FM
47,WUPY-FM
48,WUPZ-FM
49,WYKX-FM
50,WYSS-FM
51,WZAM-AM
52,WZNL-FM
53,CBON-FM
54,CBSM-FM
55,CHAS-FM
56,CJQM-FM
57,CJTK-FM
58,WATW-AM
59,WCCY-AM
60,WERL-AM
61,WHRY-AM
62,WMAM-AM
63,WMKT-AM
64,W204AQ
65,W259AD
66,W277AG
67,WBSZ-FM
68,WCMZ
69,WCUP-FM
70,WEGZ-FM
71,WEUL-FM
72,WGGL-FM
73,WGLI-FM
74,WGMV-FM
75,WHBM
76,WHWG-FM
77,WIHC
78,WJJH-FM
79,WJOH-FM
80,WLST-FM
81,WMJT
82,WMTU-FM
83,WMVM-FM
84,WNMU-FM
85,WNXR-FM
86,WOAS-FM
87,WOLV-FM
88,WRJO-FM
89,WSFQ-FM
90,WTHN-FM
91,WUPN
92,WUPX-FM
93,WUWS-FM
