call_sign,ZIP
WAGN-AM,49710
WCCY-AM ,49715
WCHT-AM,49719
WCMM-FM,49719
WCMU-FM,49724
WDBC-AM,49725
WDMJ-AM,49726
WFER-AM,49728
WFXD-FM,49736
WGKL-FM,49745
WGLQ-FM,49752
WHKB-FM,49757
WHTO-FM,49760
WHWL-FM,49760
WHYB-FM,49762
WIKB-FM,49768
WIMI-FM,49774
WIMK-FM,49774
WJMS-AM,49775
WJNR-FM,49780
WJPD-FM,49780
WKMJ-FM,49781
WKNW-AM,49783
WKQS-FM,49788
WMIQ-AM,49801
WMJT-FM,49802
WMKD-FM,49805
WMPL-AM,49805
WMQT-FM,49806
WNBY-AM,49807
WNBY-FM,49807
WNGE-FM,49812
WMNU-FM,49814
WOBE-FM,49815
WQXO-AM,49816
WRPP-FM,49817
WRUP-FM,49817
WSOO-AM,49818
WSUE-FM,49818
WTIQ-AM,49820
WUPF-FM,49821
WUPG-FM,49822
WUPK-FM,49822
WUPM-FM,49825
WUPN-FM,49826
WUPT-FM,49827
WUPY-FM,49829
WUPZ-FM,49831
WYKX-FM,49831
WYSS-FM,49833
WZAM-AM,49834
WZNL-FM,49835
,49836
,49836
,49837
,49838
,49839
,49840
,49841
,49847
,49848
,49849
,49853
,49853
,49854
,49854
,49855
,49858
,49861
,49861
,49862
,49866
,49868
,49870
,49873
,49874
,49876
,49878
,49878
,49879
,49879
,49880
,49880
,49881
,49883
,49883
,49884
,49884
,49885
,49885
,49886
,49887
,49891
,49892
,49892
,49893
,49894
,49895
,49895
,49895
,49896
,49905
,49908
,49910
,49911
,49912
,49913
,49913
,49916
,49919
,49920
,49921
,49925
,49927
,49930
,49931
,49935
,49938
,49945
,49945
,49946
,49947
,49947
,49948
,49948
,49950
,49952
,49952
,49953
,49958
,49958
,49962
,49963
,49965
,49965
,49967
,49967
,49967
,49968
,49969
,49970
,54540
